"Emails","Como você avalia a sua experiência na tela de Personalização de Ofertas?","","","","","Qual o motivo da sua nota?","Timestamp","URL","Country","Device","OS","Browser","Visitor Attributes"
"","Muito Insatisfeito","Insatisfeito","Neutro","Satisfeito","Muito Satisfeito","",""
"n/a","","","","Y","","","24/09/24 11:50","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/5cj7swi1VZTjAcqCkuY+vQ/2/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","Y","","As vezes gera confusão em razão do excesso de detalhamento das informações
","24/09/24 11:50","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/NuqMCuvAhss5nmehn8RETQ/7/0/1","","","","",""""""
"n/a","","","","","Y","","24/09/24 11:49","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/3vN3X3n38X+LmXc9o_398Q/1/0/1","","","","",""""""
"n/a","","","","","Y","","24/09/24 11:48","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/0vNkfl5riDOoHlJHNNjZQQ/6/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","Y","","","","","Sistema instavel e de dificil compreensão ","24/09/24 11:48","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/BZD4xKktjS1qzxHnfU_66w/1/0/1","","","","",""""""
"n/a","","Y","","","","ruimmmmmmmmmmmmmm","24/09/24 11:48","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/VtkXZuGUWPwaOcqks_cZbw/5/1/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","Y","","","24/09/24 11:48","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/PU0ALtubIQ+VcrRPU6c9Xg/1/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","Y","","","","","","24/09/24 11:47","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/e1BbcbiOg4LHnQbcMfBaBQ/4/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","Y","","","","","24/09/24 11:47","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/lIbgqdC4F5K0RDOpCv8chw/1/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","Y","","","","24/09/24 11:47","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/Rf7RUPbhRE5JA9YcGBc21g/1/1/1","","","","",""""""
"n/a","","","Y","","","E o menos pior desse programa","24/09/24 11:47","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/8QLX_I3CKhvijCCTOoQp0Q/2/3/1","","","","",""""""
"n/a","","","Y","","","estou achando um pouco confuso","24/09/24 11:46","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/MDZ4EoTTtyQ7t58bvrZShw/1/1/1","","","","",""""""
"n/a","","Y","","","","ao escolher as formas de pagamento tem que escolher imprimir os modelo, até ai ok. porém as vezes não reconhece a opção escolhida. ","24/09/24 11:44","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/M8l6c2G2V5tWQ0kUnntV3A/1/1/1","Brazil","Other","Windows","Edge",""""""
"n/a","","","Y","","","","24/09/24 11:44","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/nxlCv5RgzSNabJJ_QK04Og/1/0/1","","","","",""""""
"n/a","","","","Y","","","24/09/24 11:43","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/EqjI7s_iwHpORWMz+kNclQ/1/1/1","","","","",""""""
"n/a","","","","","Y","","24/09/24 11:43","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/5_H0njpi+NytsFcg6jS5Ww/1/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","Y","","","","24/09/24 11:42","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/Fy5S5OQGk7HvWtEfqSy4Sg/1/1/1","","","","",""""""
"n/a","","","","Y","","","24/09/24 11:42","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/rKhpkIjRZrsEUyq9pBLG3A/1/2/1","","","","",""""""
"n/a","","","Y","","","","24/09/24 11:42","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/QU1Ixiq16Gc9x1XQtjRlnQ/1/1/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","Y","","","24/09/24 11:41","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/ofertas/KWmtPvmg_1OEwYapxJnzfw/1","","","","",""""""
"n/a","","","","","Y","RAPIDO ACESSO
","24/09/24 11:41","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/17HraJuWMRJT4eiTV+Q5OA/1/1/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","","Y","","24/09/24 11:41","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/plCWgJb9VE52lUcq7cizYw/1/1/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","Y","","","","24/09/24 11:41","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/ixJxoZzS7LExfX4pYhVbzQ/4/3/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","Y","","","","24/09/24 11:41","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/0Nf+6cXbx__bWhwHwvtDbw/3/0/1","","","","",""""""
"n/a","Y","","","","","","24/09/24 11:41","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/ofertas/7aMmC8ZHqUOFaLVUcRidtw/0","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","Y","","3","24/09/24 11:39","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/0MklSEBf+YsuLUebBKNG5A/1/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","Y","","","24/09/24 11:38","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/BxSuv1E7zAPBHY1G6G7gbA/5/1/1","Brazil","Other","Windows","Chrome",""""""
